"","sessionid","treatmentnumber","subjects","period","subject","group","profit","totalprofit","contribution_id","income","strategic_ability","timecalculercontrolreppggok","timeokcontrolreppggok","timecalculerrepeatedpggok","timeokrepeatedpggok","sumc_rep","roundprofit","timecontinuerrepeatedpggfeedback","gamepaid","paypgg","paytask","finalprofit","moneyearned","crtscore","paycrt","mycontrib","sumcont_one","sm","paypggone","type","unassigned","winrace","payrace","bilevel","maxint","choiceguess","payguess","target","p","guessability","gr_one","ap","unco_cont","cond1","cond2","cond3","cond4","cond5","cond6","cond7","cond8","cond9","cond10","cond11","cond12","cond13","cond14","cond15","cond16","cond17","cond18","cond19","cond20","cond21","timeokcontrolonepggok","timeokoneshotpgguncook","timeokoneshotpggcondok","avg_cond","cov","sum_square1","sum_square2","avg_bench","d1","d2","var_cond","cor","othercont","mycond","ca","cb","cc","gr_guess","ce","timeokguessinggameok","cg","distance","winguess","cj","sessiontarget","cl","age","gender","study","yearstudy","nation","difficultexp","strategy","strategy1","strategy2","strategypartner","risk","session","id","idgroup","hetero","female","groupcont","avg_cont_all","avg_cont_type","avg_cont_ability","otherCC","CC","n_cc","cumability","bin_strategic_ability","n_H","avg_cont_prefgroup","avg_cont_abgroup","groupcompo","allCC","allH","dif_cont","othercont_rep","mincont","medcont","repothercont","otherH","periodsq","minab","maxab","decile","quartile","avgsm","FR","n_low","n_fr","allFR","allLow","fieldstudy","nationality","avg_cont_compo","condition","sum_contribution_g","avg_contribution_g","avg_contr_g_others","roundprofit_id","grouptype","group_ability_cont","group_ability_cat","group_ability_bin"
"845","160323_1352",1,"subjects",8,23,1,"0","0",0,196.2,6.66666666666667,"-","-","0",29,1,20.6,19,NA,NA,NA,13895,13895,0,0,0,110,0,"266","Freerider",NA,1,200,1,5,67,0,3111111111111110,"0.6666666666666666",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,55,67,"0",0,0,77000,100,"0",100,"0",0,130,0,110,0,"266",6,67,76,3111111111111110,3588888888888880,0,0,2483333333333330,"0",20,"Femme","Autres","Licence 2","Autre Européenne","5 (Facile)","Ne rien donner","",NA,"De la même façon que moi, c-à-d ne rien donner non plus",2,5,119,"33",0,1,0.333333343267441,7.81944465637207,4.83333349227905,7.85714292526245,0,0,0,0.0625,0,1,6.4375,9.20833301544189,3,0,0,0,1,0,0,1,1,64,6.66666650772095,47.9262275695801,1,1,0,1,2,3,1,0,1,1,6.84259271621704,"PREF",1,0.333333333333333,0.5,20.6,"Freerider",26.6276803118908,"LOW","LOW_STRAT"
"846","160324_1558",0,"subjects",8,3,1,"0","0",5,127.6,49.4503277861826,"-","-","0",19,7,19.2,20,NA,NA,NA,12415,12415,0,0,200,380,1,"228","CondCoop",NA,1,200,3,5,25,200,32,"0.6666666666666666",0.883509833585477,7,1,50,0,0,0,0,0,0,0,50,60,70,80,100,110,120,130,130,130,200,200,200,200,-17,20,39,"8476190476190470",90900,1137238095238090,77000,100,"1152380952380950",100,"5686190476190470",0.971388194297013,180,200,380,200,"228",1,25,29,32,7,1,200,2927777777777770,"0.8835098335854766",18,"Femme","Economie et Gestion, Math-Eco","Licence 1","Francaise","4","J'ai voulu que tout le monde investisse le montant maximal (20) car c'était preferable pour tout la monde donc pendant les premières periodes, j'ai misé 20 mais les autres zero, mais j'ai continué pensant les encourager,","rien à faire (il n'avaient surement pas reflechi à la meilleurs strategie..) du coup j'ai misé de tout petits montant le reste des periodes car miser tout laors qu'ils ne misait rien m'etait defavorable et leur etait plus favorable, dommage.",NA,"Je pensais bien qu'au debut,ils ne miseraient pas beaucoup mais j'ai pensé que mes mises les encourageraient, ce n'était pas le cas.",9,7,147,"49",NA,1,2.33333325386047,6.60416650772095,8.76000022888184,6.52173900604248,0,1,1,0.630208313465118,1,2,7.86666679382324,6.85964918136597,3,0,0,0,1.99999976158142,0,2,1.99999976158142,1,64,12.1129598617554,59.4688186645508,7,3,84.7619018554688,0,1,1,0,0,3,3,6.84259271621704,"RAND",7,2.33333333333333,1,19.2,"grouptype_is_mixed",40.3440354121141,"MEDIUM","LOW_STRAT"
"847","160321_1143",2,"subjects",8,21,1,"0","0",3,190.2,69.5069033530572,"-","-","0",24,6,20.6,4,NA,NA,NA,15.58,15.58,3,300,90,270,0,"272","CondCoop",NA,1,200,3,5,2,200,1088888888888880,"0.6666666666666666",0.485207100591716,1,0,90,0,50,50,50,50,50,60,60,80,80,100,100,120,120,140,140,160,160,180,180,200,-116,-7,12,"1014285714285710",66900,6045714285714280,77000,100,"9857142857142850",100,"3022857142857140",0.980521104321541,80,200,270,90,"272",8,2,7,1088888888888880,8888888888888880,1,200,23.75,"0.485207100591716",21,"Homme","Sociologie","Master 1","Francaise","4","Au début généreux dans le pot commun dans le but d'instaurer une dynamique positive de gains mutuels, voyant le succès relatif de cette stratégie (moins de 20 de gains), j'ai baissé de moitié pour les 4 tours suivants. N'ayant","toujours pas satisfaction de la coopération, j'ai brutalement choisi 0, ce qui a cassé la confiance, et a entraine le groupe vers des apports très bas pour tout le reste du processus.",NA,"Je pensais qu'ils seraient plus généreux au début, pour l'intérêt de tous.",8,1,21,"1",NA,0,2,8.63888931274414,9.94871807098389,11.1388893127441,1,1,2,0.848958313465118,1,2,6.95833349227905,6.85964918136597,3,0,0,-6,3,0,3,3,1,64,38.2577247619629,82.0512847900391,9,4,101.428573608398,0,1,1,0,0,5,3,6.84259271621704,"STRAT",6,2,1.5,20.6,"grouptype_is_mixed",63.2719701950471,"HIGH","HIGH_STRAT"
"848","160329_1355",0,"subjects",8,7,3,"0","0",2,230.4,21.7154315923799,"-","-","0",28,13,25.8,13,NA,NA,NA,10195,10195,1,100,120,140,0,"164","Others",NA,1,200,1,5,62,0,38,"0.6666666666666666",0.118129614438064,1,0,120,160,140,200,110,100,90,80,70,190,160,120,140,20,60,80,120,160,200,40,60,100,-234,8,-107,"1142857142857140",-18500,5371428571428570,77000,100,"-1428571428571420",100,"2685714285714280",-0.287661316276644,20,120,140,120,"164",3,62,86,38,24,0,0,3213888888888880,"0.118129614438064",21,"Femme","Autres","Licence 1","Francaise","4","J'ai préféré verser un maximum de jetons dans la cagnotte commune dès le départ pour voir si les autres participants me suivraient mais en voyant que ce n'etait pas le cas, j'ai fait l'inverse en versant le minimum de jeton possible.","",NA,"En versant le plus de jetons possible.",8,8,175,"59",NA,1,4.33333349227905,6.60416650772095,6,6.67999982833862,0,0,0,0.15104167163372,0,0,6.4375,6.1777777671814,3,0,0,-10,11,3,3,11,0,64,12.5731477737427,21.7154312133789,2,1,114.285713195801,0,3,1,0,1,1,3,6.84259271621704,"RAND",13,4.33333333333333,5.5,25.8,"grouptype_is_mixed",18.6680035244432,"LOW","LOW_STRAT"
"849","160324_1558",0,"subjects",8,20,7,"0","0",20,266.2,47.2281055639603,"-","-","0",29,60,36,19,NA,NA,NA,21155,21155,1,100,80,380,0,"348","Others",NA,1,200,1,5,25,200,2711111111111110,"0.6666666666666666",0.883509833585477,7,0,80,0,0,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,0,0,-71,4,-2,"4047619047619040",2.04e+15,1829523809523800,77000,100,"-4047619047619040",100,"9147619047619040",0.54352030338625,150,0,380,80,"348",2,25,67,2711111111111110,2111111111111100,1,200,2927777777777770,"0.8835098335854766",20,"Homme","Economie et Gestion, Math-Eco","Licence 3","Francaise","2","J'ai augmenté graduelement ma mise, en suivant les réponses des membres de mon groupe. Au bout de 5 essais environ, il y a comme une solidarité qui s'est installé, tout le monde avait compris que tout le mond serait gagnant","si chacun mettait 20. A la fin, je supposais que les autres membres allait continuer à mettre 20 donc j'ai mis 0 pour optimiser mes gains",NA,"Comme je l'attendais, ils ont augmentés leurs mises, puis 20, comme attendu",7,7,164,"55",NA,0,20,6.60416650772095,6,6.52173900604248,1,0,1,0.59375,1,1,7.86666679382324,9.20833301544189,3,0,0,12,40,20,20,40,0,64,17.7777786254883,47.2281074523926,6,3,40.476188659668,0,2,1,0,0,3,3,6.84259271621704,"RAND",60,20,20,36,"grouptype_is_mixed",36.097943631983,"LOW","LOW_STRAT"
"850","160324_1558",0,"subjects",8,5,2,"0","0",0,260.2,38.2450832072617,"-","-","0",26,17,30.2,19,NA,NA,NA,18145,18145,0,0,100,320,0,"292","Freerider",NA,1,200,2,5,20,0,2777777777777770,"0.6666666666666666",0.747352496217852,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,-27,-16,2,"1904761904761900",34000,3238095238095230,77000,100,"8095238095238090",100,"1619047619047610",0.680908484039055,120,100,320,100,"292",7,20,66,2777777777777770,7777777777777770,0,0,2927777777777770,"0.7473524962178519",21,"Homme","Economie et Gestion, Math-Eco","Licence 3","Francaise","5 (Facile)","Je ne donne rien, car je suppose qu'aucun des autres membres ne donnera. et Si c'est le cas c'est tant mieux pour moi.","",NA,"Exactement comme sa s'est déroulé, au début ils donnent, puis arriver à la fin ils ont en surement assez de se faire avoir et ils ne donnent donc plus rien.",8,7,149,"50",NA,0,5.66666650772095,6.60416650772095,4.08333349227905,6.67999982833862,2,0,2,0.390625,0,1,6.95833349227905,9.20833301544189,3,0,0,-10,17,7,7,17,1,64,38.2450828552246,54.5234489440918,4,2,19.0476188659668,1,2,1,0,0,3,3,6.84259271621704,"RAND",17,5.66666666666667,8.5,30.2,"grouptype_is_mixed",44.0376533871239,"MEDIUM","HIGH_STRAT"
"851","160324_1558",0,"subjects",8,13,5,"0","0",0,179.8,50.4555387460077,"-","-","24",20,0,20,19,NA,NA,NA,16595,16595,1,100,0,240,1,"344","Freerider",NA,1,200,1,5,30,0,2711111111111110,"0.6666666666666666",0.980332829046899,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,"0",0,0,77000,100,"0",100,"0",0,240,0,240,0,"344",8,30,28,2711111111111110,2888888888888890,0,0,2927777777777770,"0.9803328290468986",20,"Homme","Economie et Gestion, Math-Eco","Licence 2","Francaise","5 (Facile)","J'ai toujours misé 0 car 0 été l'optimal pour mes gains.","",NA,"Au début je savais que les autres aller contribuer une certaine somme dans la cagnotte commune, comme j'ai toujours misé 0 j'ai donc optimiseé au maximum mes gains et profiter des investissement des autres personnes au début.",8,7,157,"53",NA,0,0,6.60416650772095,4.08333349227905,6.52173900604248,0,0,0,0.640625,1,2,6.4375,6.85964918136597,3,0,0,0,0,0,0,0,1,64,12.1129598617554,50.4555397033691,7,3,0,1,1,2,0,0,3,3,6.84259271621704,"RAND",0,0,0,20,"grouptype_is_mixed",35.6709811172746,"LOW","LOW_STRAT"
"852","160321_1143",2,"subjects",8,11,5,"0","0",20,301,44.9967126890204,"-","-","0",28,60,36,18,NA,NA,NA,15.94,15.94,1,100,200,470,1,"282","CondCoop",NA,1,200,1,5,16,200,1711111111111110,"0.6666666666666666",0.816568047337278,5,1,50,0,0,0,0,0,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,200,2,21,-31,"9523809523809520",69500,7452380952380950,77000,100,"1047619047619040",100,"3726190476190470",0.917470097393264,270,200,470,200,"282",7,16,-28,1711111111111110,1111111111111110,1,200,23.75,"0.8165680473372781",21,"Homme","Economie et Gestion, Math-Eco","Master 1","Autre Non-Européenne","4","puisqu'il y'a de l'information après chaque périodes, en premier tester la stratégies des autres participants en mettant 10 jetons, puis mettre 20 jetons vu que tout le monde l'ont fait, et vers les 3 dernières miser 0 jetons","parcequ'il y'a 22 personnes donc 8 groupes et une probabilités faibles de revenir dans le même groupe.",NA,"aucune idée fallait effectuer la première periode",8,1,11,"5",NA,0,20,8.63888931274414,9.94871807098389,11.1388893127441,1,1,2,0.567708313465118,1,1,6.95833349227905,9.20833301544189,3,0,0,15,40,20,20,40,0,64,40.7889556884766,44.996711730957,6,3,95.2380981445312,0,2,0,0,0,3,2,6.84259271621704,"STRAT",60,20,20,36,"grouptype_is_mixed",42.4326101249178,"MEDIUM","HIGH_STRAT"
"853","160321_1405",2,"subjects",8,18,3,"0","0",0,153.4,32.4369114877589,"-","-","0",28,0,20,20,NA,NA,NA,12.34,12.34,2,200,200,500,0,"300","CondCoop",NA,1,200,1,5,13,200,8222222222222220,"0.6666666666666666",0.706440677966102,3,0,200,0,0,0,0,0,0,0,0,40,45,50,50,60,70,80,80,80,80,80,80,100,54,10,-22,"4261904761904760",43750,2738095238095230,77000,100,"5738095238095230",100,"1369047619047610",0.952814636340824,300,100,500,200,"300",3,13,43,8222222222222220,4777777777777770,1,200,2502777777777770,"0.7064406779661019",20,"Femme","Droit, Sciences politiques","Licence 2","Francaise","3","J'ai regardé à quelle hauteur les 2 autres joueurs participaient à la cagnotte. Je mettais à peu près pareil mais voyant qu'ils ne participaient plus j'ai d'abord essayé de relancer le mouvement puis je n'ai plus participé non plus.","",NA,"Je pensais qu'ils allaient commencer par miser environ la moitié de leur dotation dans la cagnotte. Puis inéxorablement chacun aurait voulu participer un peu moins donc on serait retombé à une participation nulle pour chacun.",7,2,42,"11",NA,1,0,8.63888931274414,9.94871807098389,6.13888883590698,0,1,1,0.296875,0,2,7.86666679382324,6.85964918136597,3,0,0,-20,0,0,0,0,2,64,32.4369125366211,59.2617683410645,3,2,42.6190490722656,0,1,1,0,0,2,3,6.84259271621704,"STRAT",0,0,0,20,"grouptype_is_mixed",48.9642184557439,"HIGH","HIGH_STRAT"
"854","160329_1355",0,"subjects",8,13,5,"0","0",0,255.4,55.1946039558837,"-","-","0",27,10,26,10,NA,NA,NA,15035,15035,2,200,0,300,0,"380","Freerider",NA,1,200,1,5,25,200,2288888888888880,"0.6666666666666666",0.789171452009844,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,-19,17,"0",0,0,77000,100,"0",100,"0",0,100,0,300,0,"380",2,25,-15,2288888888888880,2111111111111110,1,200,3213888888888880,"0.7891714520098443",20,"Femme","Economie et Gestion, Math-Eco","Licence 3","Autre Européenne","5 (Facile)","si je donne 0 je gagne le max en fonction de choix des autres. pour chaque jetons doné je gagne 0.6. donc le montant net( ce que je recois) de contribution d 'un jeton est -0.4","",NA,"pareil",4,8,181,"61",NA,1,3.33333325386047,6.60416650772095,4.08333349227905,6.52173900604248,2,0,2,0.692708313465118,1,2,6.95833349227905,6.85964918136597,3,0,0,0,10,0,0,10,1,64,30.5842666625977,60.6726837158203,7,3,0,1,1,1,0,0,3,1,6.84259271621704,"RAND",10,3.33333333333333,5,26,"grouptype_is_mixed",48.8171846990551,"MEDIUM","HIGH_STRAT"
"855","160321_1405",2,"subjects",8,19,4,"0","0",5,189.2,24.1280602636535,"-","-","0",12,27,31.2,6,NA,NA,NA,10825,10825,1,100,100,500,0,"400","CondCoop",NA,1,200,3,5,50,0,2333333333333330,"0.6666666666666666",0.390508474576271,3,0,100,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,100,100,100,57,-15,-3,"3095238095238090",4.1e+15,2738095238095230,77000,100,"6904761904761900",100,"136904761904762",0.892923430627972,400,100,500,100,"400",5,50,33,2333333333333330,2666666666666660,0,0,2502777777777770,"0.3905084745762713",24,"Homme","Economie et Gestion, Math-Eco","Licence 2","Autre Européenne","3","J'ai commencé par contribué mais en voyant les autres j'étais vite décu...","",NA,"j'aurais aimer que tout le monde mettent toujours la totalité(20) mais à la fin plus personne n'a contribué quoi que ce soit....Du coup j'ai rien contribué non plus.",5,2,43,"12",NA,0,9,8.63888931274414,9.94871807098389,6.13888883590698,0,1,1,0.16666667163372,0,2,7.86666679382324,6.85964918136597,3,0,0,-5,22,3,5,22,2,64,24.128059387207,47.0659141540527,2,1,30.9523811340332,0,1,2,0,0,3,1,6.84259271621704,"STRAT",27,9,11,31.2,"grouptype_is_mixed",38.4406779661017,"MEDIUM","LOW_STRAT"
"856","160323_1352",1,"subjects",8,18,6,"0","0",0,234.2,44.3364822312191,"-","-","0",23,10,26,6,NA,NA,NA,14495,14495,1,100,12,192,1,"303.2","Others",NA,1,200,3,5,0,0,1377777777777770,"0.6666666666666666",0.396761133603239,4,1,40,30,30,30,30,40,40,40,40,40,40,45,30,30,30,45,15,15,15,20,12,12,-8,14,65,"2995238095238090",-8420,2472952380952380,77000,100,"-1795238095238090",100,"1236476190476190",-0.610181241300071,180,12,192,12,"303.2",3,0,69,1377777777777770,1377777777777770,0,0,2483333333333330,"0.396761133603239",22,"Homme","Economie et Gestion, Math-Eco","Licence 2","Francaise","5 (Facile)","j'ai mis 0 pendant les 14 premiers tours puis 1 jeton symbolique","",NA,"en groupe",5,5,114,"38",0,0,3.33333325386047,7.81944465637207,9.33333301544189,7.78378391265869,0,0,0,0.53125,1,2,6.4375,6.85964918136597,3,0,0,-4,10,0,0,10,1,64,40.0539817810059,60.6567687988281,6,3,29.9523811340332,0,1,0,0,0,3,3,6.84259271621704,"PREF",10,3.33333333333333,5,26,"Others",48.349077822762,"MEDIUM","HIGH_STRAT"
"857","160321_1553",2,"subjects",8,7,7,"0","0",20,212.6,24.4444444444444,"-","-","0",28,48,28.8,19,NA,NA,NA,9.97e+15,9.97e+15,1,100,0,300,0,"380","Freerider",NA,1,200,2,5,100,0,4111111111111110,"0.6666666666666666",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157,2,-21,"0",0,0,77000,100,"0",100,"0",0,300,0,300,0,"380",7,100,67,4111111111111110,5888888888888880,0,0,3141666666666660,"0",24,"Femme","Economie et Gestion, Math-Eco","Doctorat","Francaise","4","contribuer au maximum c'est-à-dire à hauteur de 20 jetons par période","",NA,"de la même façon",3,3,55,"23",NA,1,16,8.63888931274414,7.53333330154419,6.13888883590698,1,0,1,0.17708332836628,0,0,7.86666679382324,6.1777777671814,3,0,0,20,28,10,18,28,0,64,20.3212852478027,24.4444446563721,2,1,0,1,3,1,0,1,3,3,6.84259271621704,"STRAT",48,16,14,28.8,"grouptype_is_mixed",22.9808121374386,"LOW","LOW_STRAT"
"858","160323_1155",1,"subjects",8,16,8,"0","0",20,284,43.3333333333333,"-","-","-18",-20,60,36,18,NA,NA,NA,13.2,13.2,0,0,0,120,0,"272","UncondCoop",NA,1,200,2,5,33,0,3777777777777770,"0.6666666666666666",0.9,4,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-112,5,-20,"200",0,0,77000,100,"0",100,"0",0,200,200,120,0,"272",8,33,53,3777777777777770,4777777777777770,0,0,2933333333333330,"0.9",23,"Homme","Economie et Gestion, Math-Eco","Master 1","Autre Européenne","5 (Facile)","J attendais l etape 14 pour mettre 0 car je pensais que a la derniere etape, les autres mettraient des contributions 0.","",NA,"Jusque l etape 15: cotribution 20 \r\nensuite 0",4,4,88,"32",1,0,20,7.81944465637207,20,7.85714292526245,0,0,0,0.5,0,2,6.4375,6.85964918136597,3,0,0,20,40,20,20,40,2,64,43.3333320617676,81.2121200561523,5,2,200,0,1,2,0,0,3,1,6.84259271621704,"PREF",60,20,20,36,"grouptype_is_mixed",56.3299663299663,"HIGH","HIGH_STRAT"
"859","160323_1352",1,"subjects",8,5,7,"0","0",7,205.6,35.5735492577598,"-","-","0",21,27,29.2,16,NA,NA,NA,13.93,13.93,0,0,100,120,0,"172","Others",NA,1,200,4,5,55,0,1688888888888880,"0.6666666666666666",0.267206477732794,2,0,100,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,80,70,60,40,20,0,6,-3,0,"6285714285714280",13900,3542857142857140,77000,100,"-6285714285714280",100,"1771428571428570",0.26612925442095,20,100,120,100,"172",1,55,69,1688888888888880,3811111111111110,0,0,2483333333333330,"0.2672064777327936",20,"Femme","Droit, Sciences politiques","Licence 1","Francaise","2","miser peu quand les autres misent beaucoup , mais si la mise totale baisse trop miser beaucoup pour redonner confiance aux autres joueur pour qu'il mise puis a nouveau miser moins quand ils misent beaucoup","",NA,"que si ils voient que personne ne misent ils ne misent pas",1,5,101,"39",0,1,9,7.81944465637207,9.33333301544189,7.85714292526245,0,0,0,0.338541656732559,0,2,6.4375,6.85964918136597,3,0,0,-3,20,0,7,20,2,64,35.5735473632812,76.0054016113281,4,2,62.8571434020996,0,1,0,0,0,2,3,6.84259271621704,"PREF",27,9,10,29.2,"Others",55.1896836107362,"HIGH","HIGH_STRAT"
"860","160323_1155",1,"subjects",8,8,1,"0","0",0,171.6,30.3030303030303,"-","-","4",2,0,20,20,NA,NA,NA,7794999999999990,7794999999999990,0,0,10,90,1,"244","Freerider",NA,1,200,1,5,40,200,3111111111111110,"0.6666666666666666",0.709090909090909,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,-412,20,-32,"0.9523809523809523",1900,180952380952381,77000,100,"9047619047619040",100,"9047619047619040",0.509009733787979,80,10,90,10,"244",3,40,56,3111111111111110,8888888888888890,1,200,2933333333333330,"0.7090909090909091",23,"Femme","Autres","Master 1","Francaise","2","je gardais tous les jetons, j'ai essayé deux fois de mettre un jeton pour voir si cela allait inciter les autres à en mettre.","",NA,"qu'ils allaient tout garder pour eux",2,4,80,"25",0,1,0,7.81944465637207,4.83333349227905,7.85714292526245,0,0,0,0.234375,0,0,6.4375,6.1777777671814,3,0,0,-5,0,0,0,0,0,64,30.3030300140381,36.6666679382324,3,1,0.952380955219269,1,3,3,1,1,1,3,6.84259271621704,"PREF",0,0,0,20,"Freerider",33.4343434343434,"LOW","LOW_STRAT"
"861","160329_1355",0,"subjects",8,4,2,"0","0",3,161.8,62.6415094339623,"-","-","21",17,4,19.4,1,NA,NA,NA,7.84e+15,7.84e+15,3,300,100,200,1,"220","CondCoop",NA,1,200,1,5,43,0,2288888888888880,"0.6666666666666666",0.679245283018868,8,1,120,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,100,29,18,-8,"9523809523809520",67000,6652380952380950,77000,100,"4761904761904750",100,"3326190476190470",0.936140176684459,100,100,200,100,"220",2,43,1,2288888888888880,2011111111111110,0,0,3213888888888880,"0.6792452830188679",20,"Homme","Sciences dures (Mathématiques, Chimie, Biologie, Physique, Informatique)","Licence 1","Francaise","5 (Facile)","regarder la mise des autres joueurs et adapter afin que ma mise personnelle soit toujours en dessous de la mise globale\r\n","",NA,"j'ai pensé que les joueurs allaient  résonner comme moi, j'ai donc réduit de plus en plus la contribution",7,8,172,"58",NA,0,1.33333337306976,6.60416650772095,8.76000022888184,6.52173900604248,1,1,2,0.817708313465118,1,1,6.95833349227905,9.20833301544189,3,0,0,-9,1.00000011920929,0,1,1.00000011920929,0,64,13.3333330154419,62.6415100097656,9,4,95.2380981445312,0,2,1,0,0,4,3,6.84259271621704,"RAND",4,1.33333333333333,0.5,19.4,"grouptype_is_mixed",37.9564305897366,"MEDIUM","LOW_STRAT"
"862","160323_1155",1,"subjects",8,7,7,"0","0",2,278.8,23.2323232323232,"-","-","0",29,31,36.6,5,NA,NA,NA,15.56,15.56,1,100,80,90,0,"174","Others",NA,1,200,1,5,60,0,2622222222222220,"0.6666666666666666",0.163636363636364,2,0,80,0,10,20,50,80,100,110,120,120,120,120,140,140,120,120,120,100,100,80,40,40,-453,-5,-44,"880952380952381",18200,3812380952380950,77000,100,"-480952380952381",100,"1906190476190470",0.335913826298804,50,40,90,80,"174",5,60,75,2622222222222220,3377777777777770,0,0,2933333333333330,"0.1636363636363637",21,"Femme","Autres","Master 1","Francaise","3","Si les autres membres du groupes \""misaient\"" beaucoup, je misais peu.","",NA,"Qu'ils allaient miser de façon relativement stable (entre 11 et 14 par session)",2,4,79,"31",0,1,10.3333330154419,7.81944465637207,9.33333301544189,7.85714292526245,0,0,0,0.15625,0,2,6.4375,6.85964918136597,3,0,0,-6,29,12,12,29,2,64,23.2323226928711,67.9797973632812,2,1,88.0952377319336,0,1,0,0,0,1,3,6.84259271621704,"PREF",31,10.3333333333333,14.5,36.6,"Others",48.8552188552189,"MEDIUM","HIGH_STRAT"
"863","160321_1143",2,"subjects",8,20,7,"0","0",0,184.8,37.0677186061801,"-","-","0",17,3,21.8,16,NA,NA,NA,10.75,10.75,1,100,200,360,0,"216","CondCoop",NA,1,200,2,5,50,0,36,"0.6666666666666666",0.378698224852071,6,0,200,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-66,47,20,"1333333333333330",98000,1866666666666660,77000,100,"6666666666666660",100,"9333333333333330",0.817423891369599,100,200,360,200,"216",1,50,54,36,14,0,0,23.75,"0.3786982248520711",23,"Homme","Economie et Gestion, Math-Eco","Master 1","Francaise","5 (Facile)","Vérifier les capacités intellectuelles de mon groupe à pouvoir maximiser leurs Gains. Si ils comprenaient pas que miser 20 à chaque tour permetté de gagner plus qu'une stratégie individuelle => mise de 0","",NA,"Comme des teubés",5,1,20,"7",NA,0,1,8.63888931274414,9.94871807098389,6.13888883590698,1,1,2,0.364583343267441,0,0,6.95833349227905,6.1777777671814,3,0,0,-20,3,0,0,3,0,64,31.1242599487305,37.0677185058594,4,2,133.33332824707,0,3,0,0,1,3,3,6.84259271621704,"STRAT",3,1,1.5,21.8,"grouptype_is_mixed",33.5218058294981,"LOW","LOW_STRAT"
"864","160329_1355",0,"subjects",8,5,2,"0","0",0,191.8,37.8944490019141,"-","-","0",29,4,22.4,19,NA,NA,NA,10.64,10.64,0,0,50,250,0,"300","CondCoop",NA,1,200,1,5,30,100,2333333333333330,"0.6666666666666666",0.936833470057424,7,0,50,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,45,37,55,"100",77000,77000,77000,100,"100",100,"3850",1,270,200,250,50,"300",5,30,84,2333333333333330,6666666666666660,1,100,3213888888888880,"0.9368334700574242",23,"Femme","Economie et Gestion, Math-Eco","Licence 2","Francaise","4","selon le total de jeton dans la cagnotte commune je versez un certain nombre de jetons","",NA,"en versant le peu ou pas de jeton",0,8,173,"58",NA,1,1.33333337306976,6.60416650772095,8.76000022888184,6.67999982833862,1,1,2,0.380208343267441,0,1,6.95833349227905,9.20833301544189,3,0,0,-5,4,1,1,4,1,64,13.3333330154419,62.6415100097656,4,2,100,0,2,1,0,0,3,3,6.84259271621704,"RAND",4,1.33333333333333,2,22.4,"grouptype_is_mixed",37.9564305897366,"MEDIUM","LOW_STRAT"
"865","160323_1557",1,"subjects",9,9,2,"0","0",10,335.2,63.7720377203772,"-","-","0",24,50,40,19,NA,NA,NA,18215,18215,2,200,0,60,0,"236","Freerider",NA,1,200,5,5,0,100,20,"0.6666666666666666",0.24649446494465,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-5,71,"0",0,0,77000,100,"0",100,"0",0,70,0,60,0,"236",3,0,-1,20,20,1,100,2836111111111110,"0.2464944649446497",20,"Homme","Economie et Gestion, Math-Eco","Licence 3","Francaise","2","mettre toujours inferieur a la moyenne deux autres participant en pariant sur le fait qu'il allaient jouer des sommes élévées","",NA,"j'ai pensé que comme la somme des jetons étais connue ils allaient mettre souvent au dessus de 15 jeton pour que tous le monde face pareille et augmente la somme de nos gains",3,6,129,"42",0,0,16.6666660308838,7.63888883590698,6.20833349227905,7.29729747772217,0,0,0,0.828125,1,2,6.60416650772095,6.19298267364502,3,0,0,10,40,20,20,40,1,81,21.0824108123779,77.0561676025391,9,4,0,1,1,3,1,0,3,3,7,"PREF",50,16.6666666666667,20,40,"Freerider",53.9702063687304,"HIGH","HIGH_STRAT"
